depth,ion,spr,dose
1.4,94.7,0.974,91.2
1.5,94.7,0.974,91.2
1.6,94.7,0.974,91.3
1.7,94.7,0.975,91.3
1.8,94.7,0.975,91.3
1.9,94.8,0.975,91.4
2.0,94.9,0.975,91.5
2.1,95.0,0.975,91.6
2.2,95.1,0.975,91.7
2.3,95.2,0.975,91.8
2.4,95.3,0.975,91.9
2.5,95.4,0.976,92.0
2.6,95.5,0.976,92.2
2.7,95.6,0.976,92.3
2.8,95.7,0.976,92.4
2.9,95.8,0.976,92.5
3.0,95.9,0.976,92.6
3.1,95.9,0.976,92.6
3.2,96.0,0.977,92.7
3.3,96.1,0.977,92.8
3.4,96.2,0.977,92.9
3.5,96.2,0.977,93.0
3.6,96.2,0.977,93.0
3.7,96.3,0.977,93.1
3.8,96.4,0.977,93.2
3.9,96.6,0.977,93.4
4.0,96.7,0.978,93.5
4.1,96.8,0.978,93.6
4.2,97.0,0.978,93.8
4.3,97.1,0.978,93.9
4.4,97.3,0.978,94.1
4.5,97.4,0.978,94.2
4.6,97.6,0.978,94.4
4.7,97.7,0.978,94.5
4.8,97.7,0.979,94.6
4.9,97.8,0.979,94.7
5.0,97.8,0.979,94.7
5.1,97.9,0.979,94.8
5.2,97.9,0.979,94.8
5.3,98.0,0.979,94.9
5.4,98.0,0.979,95.0
5.5,98.1,0.98,95.1
5.6,98.1,0.98,95.1
5.7,98.2,0.98,95.2
5.8,98.2,0.98,95.2
5.9,98.3,0.98,95.3
6.0,98.3,0.98,95.3
6.1,98.4,0.98,95.4
6.2,98.4,0.98,95.4
6.3,98.5,0.981,95.5
6.4,98.5,0.981,95.5
6.5,98.5,0.981,95.6
6.6,98.6,0.981,95.7
6.7,98.6,0.981,95.7
6.8,98.6,0.981,95.7
6.9,98.6,0.981,95.7
7.0,98.5,0.982,95.6
7.1,98.5,0.982,95.6
7.2,98.4,0.982,95.6
7.3,98.4,0.982,95.6
7.4,98.3,0.982,95.5
7.5,98.3,0.982,95.5
7.6,98.2,0.982,95.4
7.7,98.2,0.983,95.4
7.8,98.1,0.983,95.4
7.9,98.1,0.983,95.4
8.0,98.1,0.983,95.4
8.1,98.1,0.983,95.4
8.2,98.1,0.983,95.4
8.3,98.1,0.983,95.4
8.4,98.1,0.983,95.4
8.5,98.2,0.984,95.5
8.6,98.2,0.984,95.6
8.7,98.2,0.984,95.6
8.8,98.2,0.984,95.6
8.9,98.2,0.984,95.6
9.0,98.2,0.984,95.6
9.1,98.2,0.984,95.6
9.2,98.3,0.985,95.7
9.3,98.3,0.985,95.7
9.4,98.3,0.985,95.8
9.5,98.3,0.985,95.8
9.6,98.4,0.985,95.9
9.7,98.4,0.985,95.9
9.8,98.4,0.985,95.9
9.9,98.4,0.986,95.9
10.0,98.4,0.986,95.9
10.1,98.5,0.986,96.0
10.2,98.5,0.986,96.0
10.3,98.5,0.986,96.1
10.4,98.5,0.986,96.1
10.5,98.5,0.986,96.1
10.6,98.5,0.987,96.1
10.7,98.6,0.987,96.2
10.8,98.6,0.987,96.2
10.9,98.6,0.987,96.2
11.0,98.6,0.987,96.2
11.1,98.6,0.987,96.3
11.2,98.6,0.987,96.3
11.3,98.6,0.988,96.3
11.4,98.6,0.988,96.3
11.5,98.6,0.988,96.3
11.6,98.6,0.988,96.3
11.7,98.6,0.988,96.3
11.8,98.7,0.988,96.5
11.9,98.8,0.988,96.6
12.0,98.9,0.989,96.7
12.1,99.0,0.989,96.8
12.2,99.1,0.989,96.9
12.3,99.2,0.989,97.0
12.4,99.2,0.989,97.1
12.5,99.3,0.989,97.2
12.6,99.5,0.989,97.4
12.7,99.6,0.99,97.5
12.8,99.7,0.99,97.6
12.9,99.6,0.99,97.5
13.0,99.5,0.99,97.4
13.1,99.4,0.99,97.4
13.2,99.3,0.99,97.3
13.3,99.2,0.99,97.2
13.4,99.2,0.991,97.2
13.5,99.2,0.991,97.1
13.6,99.1,0.991,97.1
13.7,99.0,0.991,97.0
13.8,98.9,0.991,96.9
13.9,98.9,0.991,96.9
