depth,ion
-0.5,83.4
-0.4,83.3
-0.3,83.2
-0.2,83.1
-0.1,83
0,83
0.1,83
0.2,82.9
0.3,82.9
0.4,82.9
0.5,82.9
0.6,82.8
0.7,82.8
0.8,82.8
0.9,82.8
1,82.8
1.1,82.8
1.2,82.8
1.3,82.8
1.4,82.8
1.5,82.8
1.6,82.8
1.7,82.8
1.8,82.9
1.9,82.9
2,83.2
2.1,83.4
2.2,83.6
2.3,83.9
2.4,84.1
2.5,84.3
2.6,84.6
2.7,84.8
2.8,85
2.9,85.3
3,85.4
3.1,85.6
3.2,85.7
3.3,85.9
3.4,86.1
3.5,86.2
3.6,86.4
3.7,86.6
3.8,86.7
3.9,86.9
4,87.1
4.1,87.2
4.2,87.4
4.3,87.5
4.4,87.7
4.5,87.9
4.6,88
4.7,88.2
4.8,88.3
4.9,88.5
5,88.7
5.1,88.8
5.2,89
5.3,89.2
5.4,89.4
5.5,89.5
5.6,89.7
5.7,89.9
5.8,90.1
5.9,90.2
6,90.4
6.1,90.5
6.2,90.7
6.3,90.8
6.4,91
6.5,91.1
6.6,91.2
6.7,91.4
6.8,91.5
6.9,91.7
7,91.9
7.1,92.2
7.2,92.5
7.3,92.8
7.4,93
7.5,93.3
7.6,93.6
7.7,93.8
7.8,94.1
7.9,94.4
8,94.5
8.1,94.5
8.2,94.6
8.3,94.7
8.4,94.8
8.5,94.9
8.6,95
8.7,95.1
8.8,95.2
8.9,95.2
9,95.5
9.1,95.7
9.2,96
9.3,96.2
9.4,96.5
9.5,96.7
9.6,97
9.7,97.2
9.8,97.5
9.9,97.7
10,97.9
10.1,97.9
10.2,98
10.3,98.1
10.4,98.1
10.5,98.2
10.6,98.3
10.7,98.3
10.8,98.4
10.9,98.5
11,98.6
11.1,98.7
11.2,98.9
11.3,99
11.4,99.2
11.5,99.3
11.6,99.4
11.7,99.6
11.8,99.7
11.9,99.9
12,99.9
12.1,99.8
12.2,99.7
12.3,99.7
12.4,99.6
12.5,99.5
12.6,99.5
12.7,99.4
12.8,99.3
12.9,99.3
13,99.2
13.1,99.2
13.2,99.2
13.3,99.1
13.4,99.1
13.5,99.1
13.6,99
13.7,99
13.8,99
13.9,98.9
14,98.9
